Menge,Sachnummer,Lageplatz
65,A247 504 0300,B05-860C01
20,A223 320 0800,B05-870C01
10,A223 540 1240,B05-900A02
25,A297 420 2400,B11-026A01
20,A223 540 3655,B12-080C01
20,A223 470 4302,B12-120A01
75,A223 680 6405,B13-010A01
24,A223 820 1405,B13-030B01
24,A214 820 8100,B13-040A01
45,A223 820 1505,B13-040B03
37,A223 680 9801,B13-040B03
24,A223 680 0400 9051,B14-040B01
15,A223 830 5401 2A17,B14-040C01
8,A223 970 2400 3F12,B14-070B03
63,A223 820 3506,B14-080A03
